#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: TimeSeries
# ---------------------------------------------------------------------------
#  Name: ip.endToEnd.window.incoming.bitThroughput
#  Description: Throughput
# ---------------------------------------------------------------------------
3.0000000 5076000.0000000
4.0000000 5076000.0000000
5.0000000 5076000.0000000
