#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: TimeSeries
# ---------------------------------------------------------------------------
#  Name: ip.endToEnd.window.incoming.bitThroughput
#  Description: UL Throughput [bit/s]
# ---------------------------------------------------------------------------
1.5000000 2399040.0000000
2.0000000 4806240.0000000
